#Time,Channel,NameOcean,Region,GESID(octal),ChannelUnitID,ChannelType,SUType,BurstFrequencyOffset(Hz)BFO,BurstTimingOffset(microseconds)BTO

7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit

7/03/2014,16:06:56.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:56.906,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:06:58.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,0x62-AcknowledgeUserData(R-channel),89,14780
7/03/2014,16:06:59.406,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,ElevenOctetUserData,89,14900
7/03/2014,16:06:59.906,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,ElevenOctetUserData,89,14780
7/03/2014,16:07:00.407,IOR-R1200-0-36D3,IOR,305,8,R-ChannelRX,EightOctetUserData,89,14860
7/03/2014,16:07:00.905,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x62-AcknowledgeUserData
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,0x71-AcknowledgeUserData(ISU)-RLS
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit

7/03/2014,16:07:02.405,IOR-P10500-0-3859,IOR,305,10,R-ChannelTX,SubsequentSignallingUnit
